restaurant_id,status,place_id,updated_at,reason
7549,ERROR,19786892,2026-09-21T00:31:58,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7553,ERROR,1949747652,2026-09-21T00:32:50,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7554,ERROR,2081164237,2026-09-21T00:33:24,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7557,ERROR,20889368,2026-09-21T00:34:16,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7562,ERROR,1034953698,2026-09-21T00:35:39,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7566,ERROR,61244505,2026-09-21T00:36:24,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7568,ERROR,1743063426,2026-09-21T00:37:08,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7573,NOT_FOUND,,2026-09-21T00:37:21,NO_VALID_CANDIDATE
7876,ERROR,1076248295,2026-09-21T00:37:49,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
8365,NOT_FOUND,,2026-09-21T00:38:02,CANDIDATE_PLACE_ID_MISSING
7563,ERROR,1881406968,2026-09-21T00:39:19,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7721,NOT_FOUND,,2026-09-21T00:39:32,NO_VALID_CANDIDATE
7759,NOT_FOUND,,2026-09-21T00:39:45,CANDIDATE_PLACE_ID_MISSING
7552,AMBIGUOUS,1777700241,2026-09-21T00:40:50,TOP_K_DETAIL_VALIDATION_FAILED
7564,ERROR,1531219789,2026-09-21T00:41:38,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7565,ERROR,2043178289,2026-09-21T00:42:24,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7567,NOT_FOUND,,2026-09-21T00:42:37,NO_VALID_CANDIDATE
